Item,Skill_req,Level,Slot,Craft_loot,Quality,Item_type,Attribute,Boost,Type_boost,Skill_boost,Note
Simple Saw,Global,,Tool,Loot,,"Saw, Carpentry Tool",Bonus Experience,2,Percentage,Carpentry,While doing  Carpentry
Simple Torch,Agility,10,Tool,Loot,,Light Source,Chest Finding,5,Percentage,Agility,While doing  Agility
Simple Wrench,Crafting,1,Tool,Loot,,"Crafting Tool, Wrench",Work Efficiency,6,Percentage,Crafting,While doing  Crafting
Simple Wrench,Crafting,1,Tool,Loot,,"Crafting Tool, Wrench",Crafting Outcome,4,Flat,Global,Global
Slipstick,Crafting,18,Tool,Loot,,,Crafting Outcome,18,Flat,Global,Global
Slipstick,Crafting,18,Tool,Loot,,,No Materials Consumed,2,Percentage,Crafting,While doing  Crafting
Slipstick,Crafting,18,Tool,Loot,,,Chest Finding,5,Percentage,Crafting,While doing  Crafting
Small Sack,Foraging,17,Tool,Loot,,,Double Rewards,3,Percentage,Foraging,While doing  Foraging
Small Sack,Foraging,17,Tool,Loot,,,Inventory Space,1,Flat,Global,Global
Sturdy Whisk,Cooking,15,Tool,Loot,,,Steps Required,-1,Flat,Cooking,While doing  Cooking
Tidal Lure,Fishing,45,Tool,Loot,,Fishing Lure,Work Efficiency,10,Percentage,Fishing,While doing  Fishing
Tidal Lure,Fishing,45,Tool,Loot,,Fishing Lure,Chest Finding,20,Percentage,Fishing,While doing  Fishing
Tidal Lure,Fishing,45,Tool,Loot,,Fishing Lure,Steps Required,-3,Flat,Fishing,While doing  Fishing
Trash Grabber,Global,,Tool,Loot,,,Fine Material Finding,20,Percentage,Global,Global
Traveler's Kit,Global,,Tool,Loot,,,Double Action,30,Percentage,Traveling,While doing  Traveling
Traveler's Kit,Global,,Tool,Loot,,,Steps Required,10,Flat,Traveling,While doing  Traveling
Trekking Poles,Global,,Tool,Loot,,,Work Efficiency,12,Percentage,Agility,While doing  Agility
Trekking Poles,Global,,Tool,Loot,,,Inventory Space,-2,Flat,Global,Global
Trusty Tent,Agility,40,Tool,Loot,,,Work Efficiency,50,Percentage,Traveling,While doing  Traveling While in  GDTE.
Walking Stick,Agility,1,Tool,Loot,,,Work Efficiency,5,Percentage,Agility,While doing  Agility
Water Bottle,Agility,1,Tool,Loot,,,Double Rewards,3,Percentage,Agility,While doing  Agility
Wilderness Guidebook,Foraging,35,Tool,Loot,,,Work Efficiency,-10,Percentage,Foraging,While doing  Foraging
Wilderness Guidebook,Foraging,35,Tool,Loot,,,Double Action,14,Percentage,Foraging,While doing  Foraging
Wire Saw,Crafting,31,Tool,Loot,,"Saw, Crafting Tool",Work Efficiency,20,Percentage,Crafting,While doing  Crafting
Wire Saw,Crafting,31,Tool,Loot,,"Saw, Crafting Tool",No Materials Consumed,5,Percentage,Crafting,While doing  Crafting
Wire Saw,Crafting,31,Tool,Loot,,"Saw, Crafting Tool",Chest Finding,20,Percentage,Crafting,While doing  Crafting
Wolf Jaw Tongs,Smithing,17,Tool,Loot,,,No Materials Consumed,3,Percentage,Smithing,While doing  Smithing
Wolf Jaw Tongs,Smithing,17,Tool,Loot,,,Chest Finding,7,Percentage,Smithing,While doing  Smithing
Wolf Jaw Tongs,Smithing,17,Tool,Loot,,,Bonus Experience,8,Percentage,Smithing,While doing  Smithing
Woodcutting Guidebook,Woodcutting,30,Tool,Loot,,,Work Efficiency,-10,Percentage,Woodcutting,While doing  Woodcutting
Woodcutting Guidebook,Woodcutting,30,Tool,Loot,,,Double Action,16,Percentage,Woodcutting,While doing  Woodcutting
Absorbing Amulet,Global,,Neck,Loot,,,Fine Material Finding,10,Percentage,Global,Global
Absorbing Amulet,Global,,Neck,Loot,,,Find Collectibles,10,Percentage,Global,Global
Adventuring Amulet,Global,,Neck,Loot,,,Work Efficiency,4,Percentage,,Global  if wearing at least  1 Adventuring Tool Set items.
Adventuring Amulet,Global,,Neck,Loot,,,Chest Finding,4,Percentage,,Global  if wearing at least  2 Adventuring Tool Set items.
Adventuring Amulet,Global,,Neck,Loot,,,Fine Material Finding,6,Percentage,,Global  if wearing at least  3 Adventuring Tool Set items.
Adventuring Amulet,Global,,Neck,Loot,,,Double Rewards,4,Percentage,,Global  if wearing at least  4 Adventuring Tool Set items.
Adventuring Amulet,Global,,Neck,Loot,,,Steps Required,-1,Flat,,Global  if wearing at least  5 Adventuring Tool Set items.
Adventuring Amulet,Global,,Neck,Loot,,,Chance to Find Adventurers' Guild Token,1,Percentage,,Global   1  Adventurers' Guild Token
Adventuring Ring,Global,,Ring,Loot,,,Work Efficiency,2,Percentage,,Global  if wearing at least  1 Adventuring Tool Set items.
Adventuring Ring,Global,,Ring,Loot,,,Chest Finding,2,Percentage,,Global  if wearing at least  2 Adventuring Tool Set items.
Adventuring Ring,Global,,Ring,Loot,,,Fine Material Finding,3,Percentage,,Global  if wearing at least  3 Adventuring Tool Set items.
Adventuring Ring,Global,,Ring,Loot,,,Double Rewards,2,Percentage,,Global  if wearing at least  4 Adventuring Tool Set items.
Adventuring Ring,Global,,Ring,Loot,,,Steps Required,-1,Flat,,Global  if wearing at least  5 Adventuring Tool Set items.
Adventuring Ring,Global,,Ring,Loot,,,Chance to Find Adventurers' Guild Token,0.5,Percentage,,Global   1  Adventurers' Guild Token
Algae Ring,Global,,Ring,Loot,,,Work Efficiency,8,Percentage,Fishing,While doing  Fishing While in  Syrenthia.
Backpack,Global,,Back,Loot,,,Inventory Space,4,Flat,Global,Global
Birch Skis,Agility,5,Feet,Loot,,Skis,Work Efficiency,7,Percentage,Agility,While doing  Agility While in  Jarvonia.
Boots of Speed,Global,,Feet,Loot,,,Steps Required,-1,Flat,Global,Global
Breezy Shirt,Fishing,9,Chest,Loot,,,Work Efficiency,4,Percentage,Fishing,While doing  Fishing
Breezy Shirt,Fishing,9,Chest,Loot,,,Bonus Experience,4,Percentage,Fishing,While doing  Fishing
Breezy Shirt,Fishing,9,Chest,Loot,,,Chest Finding,4,Percentage,Fishing,While doing  Fishing
Breezy Shirt,Fishing,9,Chest,Loot,,,Fine Material Finding,4,Percentage,Fishing,While doing  Fishing
Breezy Shirt,Fishing,9,Chest,Loot,,,Double Action,4,Percentage,Fishing,While doing  Fishing
Breezy Shirt,Fishing,9,Chest,Loot,,,Double Rewards,4,Percentage,Fishing,While doing  Fishing
Camouflage Cape,Foraging,15,Cape,Loot,,,Double Rewards,4,Percentage,Foraging,While doing  Foraging
Camouflage Cape,Foraging,15,Cape,Loot,,,Fine Material Finding,22,Percentage,Foraging,While doing  Foraging
Candlehat,Crafting,58,Head,Loot,,Light Source,Work Efficiency,-5,Percentage,Crafting,While doing  Crafting
Candlehat,Crafting,58,Head,Loot,,Light Source,Crafting Outcome,35,Flat,Global,Global
Cape of Achiever,Global,,Cape,Loot,,,Work Efficiency,20,Percentage,Global,Global
Cape of Achiever,Global,,Cape,Loot,,,Crafting Outcome,20,Flat,Global,Global
Cape of Achiever,Global,,Cape,Loot,,,Fine Material Finding,35,Percentage,Global,Global
Cape of Achiever,Global,,Cape,Loot,,,Bonus Experience,2,Flat,Global,Global
Cape of Achiever,Global,,Cape,Loot,,,Inventory Space,2,Flat,Global,Global
Cape of Achiever,Global,,Cape,Loot,,,Steps Required,-5,Flat,Global,Global
Cape of Half-Achiever,Global,,Cape,Loot,,,Work Efficiency,9,Percentage,Global,Global
Cape of Half-Achiever,Global,,Cape,Loot,,,Crafting Outcome,10,Flat,Global,Global
Cape of Half-Achiever,Global,,Cape,Loot,,,Fine Material Finding,16,Percentage,Global,Global
Cape of Half-Achiever,Global,,Cape,Loot,,,Bonus Experience,1,Flat,Global,Global
Cape of Half-Achiever,Global,,Cape,Loot,,,Inventory Space,1,Flat,Global,Global
Cape of Half-Achiever,Global,,Cape,Loot,,,Steps Required,-2,Flat,Global,Global
Cape of the Trailblazer,Global,,Cape,Loot,,,Work Efficiency,20,Percentage,Traveling,While doing  Traveling
Cape of the Trailblazer,Global,,Cape,Loot,,,Crafting Outcome,25,Flat,Global,Global
Cape of the Trailblazer,Global,,Cape,Loot,,,Fine Material Finding,25,Percentage,Global,Global
Cape of the Trailblazer,Global,,Cape,Loot,,,Inventory Space,1,Flat,Global,Global
Cape of the Trailblazer,Global,,Cape,Loot,,,Steps Required,-3,Flat,Traveling,While doing  Traveling
Cape of the Trailblazer,Global,,Cape,Loot,,,Find Collectibles,15,Percentage,Global,Global
Cape of the Trailblazer,Global,,Cape,Loot,,,Chance to Find Adventurers' Guild Token,2,Percentage,,Global   1  Adventurers' Guild Token
Chef's Apron,Cooking,25,Chest,Loot,,,Work Efficiency,3,Percentage,Cooking,While doing  Cooking
Chef's Apron,Cooking,25,Chest,Loot,,,Double Rewards,8,Percentage,Cooking,While doing  Cooking
Chef's Hat,Cooking,22,Head,Loot,,,Work Efficiency,4,Percentage,Cooking,While doing  Cooking
Chef's Hat,Cooking,22,Head,Loot,,,Bonus Experience,6,Percentage,Cooking,While doing  Cooking
Chef's Leg Apron,Cooking,17,Legs,Loot,,,Work Efficiency,10,Percentage,Cooking,While doing  Cooking
Chef's Leg Apron,Cooking,17,Legs,Loot,,,Double Rewards,15,Percentage,Cooking,While doing  Cooking
Compass Necklace,Foraging,24,Neck,Loot,,,Work Efficiency,4,Percentage,Foraging,While doing  Foraging
Compass Necklace,Foraging,24,Neck,Loot,,,Fine Material Finding,22,Percentage,Foraging,While doing  Foraging
Compass Necklace,Foraging,24,Neck,Loot,,,Find Collectibles,2,Percentage,Global,Global
Conservationist Boots,Global,,Feet,Loot,,,Fine Material Finding,55,Percentage,Global,Global
Conservationist Boots,Global,,Feet,Loot,,,Bonus Experience,-6,Percentage,Global,Global
Conservationist Hat,Global,,Head,Loot,,,Fine Material Finding,55,Percentage,Global,Global
Conservationist Hat,Global,,Head,Loot,,,Bonus Experience,-6,Percentage,Global,Global
Conservationist Shirt,Global,,Chest,Loot,,,Fine Material Finding,55,Percentage,Global,Global
Conservationist Shirt,Global,,Chest,Loot,,,Bonus Experience,-6,Percentage,Global,Global
Conservationist Shorts,Global,,Legs,Loot,,,Fine Material Finding,55,Percentage,Global,Global
Conservationist Shorts,Global,,Legs,Loot,,,Bonus Experience,-6,Percentage,Global,Global
Cool Sunglasses,Fishing,7,Head,Loot,,,Fine Material Finding,15,Percentage,Fishing,While doing  Fishing
Cooling Ice Amulet,Smithing,29,Neck,Loot,,,Double Action,5,Percentage,Smithing,While doing  Smithing
Cooling Ice Amulet,Smithing,29,Neck,Loot,,,No Materials Consumed,5,Percentage,Smithing,While doing  Smithing
Coral Cape,Global,,Cape,Loot,,,No Materials Consumed,3,Percentage,Global,Global
Coral Cape,Global,,Cape,Loot,,,Chest Finding,15,Percentage,Woodcutting,While doing  Woodcutting While in Underwater location.
Coral Cape,Global,,Cape,Loot,,,Chest Finding,15,Percentage,Mining,While doing  Mining While in Underwater location.
Coral Cape,Global,,Cape,Loot,,,Chest Finding,15,Percentage,Fishing,While doing  Fishing While in Underwater location.
Coral Cape,Global,,Cape,Loot,,,Chest Finding,15,Percentage,Foraging,While doing  Foraging While in Underwater location.
Crafting Boots,Crafting,14,Feet,Loot,,,Crafting Outcome,9,Flat,Global,Global
Crafting Boots,Crafting,14,Feet,Loot,,,No Materials Consumed,3,Percentage,Crafting,While doing  Crafting
Crafting Boots,Crafting,14,Feet,Loot,,,Double Rewards,3,Percentage,Crafting,While doing  Crafting
Crafting Pants,Crafting,14,Legs,Loot,,,Crafting Outcome,7,Flat,Global,Global
Crafting Pants,Crafting,14,Legs,Loot,,,No Materials Consumed,1,Percentage,Crafting,While doing  Crafting
Crafting Pants,Crafting,14,Legs,Loot,,,Chest Finding,2,Percentage,Crafting,While doing  Crafting
Crafting Shirt,Crafting,12,Chest,Loot,,,Work Efficiency,7,Percentage,Crafting,While doing  Crafting
Crafting Shirt,Crafting,12,Chest,Loot,,,Crafting Outcome,19,Flat,Global,Global
Crafting Shirt,Crafting,12,Chest,Loot,,,No Materials Consumed,2,Percentage,Crafting,While doing  Crafting
Crafting Shirt,Crafting,12,Chest,Loot,,,Bonus Experience,1,Flat,Crafting,While doing  Crafting
Exercise Headband,Agility,35,Head,Loot,,,Double Action,15,Percentage,Traveling,While doing  Traveling
Exercise Headband,Agility,35,Head,Loot,,,Chest Finding,35,Percentage,Traveling,While doing  Traveling
Eye Patch,Global,,Head,Loot,,,Work Efficiency,-8,Percentage,Fishing,While doing  Fishing
Eye Patch,Global,,Head,Loot,,,Fine Material Finding,60,Percentage,Fishing,While doing  Fishing
Eye Patch,Global,,Head,Loot,,,Chest Finding,30,Percentage,Fishing,While doing  Fishing
Feather Cape,Agility,42,Cape,Loot,,,Work Efficiency,15,Percentage,Agility,While doing  Agility
Feather Cape,Agility,42,Cape,Loot,,,Bonus Experience,15,Percentage,Agility,While doing  Agility
Fin Gloves,Global,,Hands,Loot,,,Work Efficiency,12,Percentage,Agility,While doing  Agility While in Underwater location.
Fisherman's Hat,Fishing,15,Head,Loot,,,Bonus Experience,12,Percentage,Fishing,While doing  Fishing
Fisherman's Hat,Fishing,15,Head,Loot,,,Bonus Experience,2,Flat,Fishing,While doing  Fishing
Fisherman's Hat,Fishing,15,Head,Loot,,,Chest Finding,5,Percentage,Fishing,While doing  Fishing
Fisherman's Trousers,Fishing,19,Legs,Loot,,,Work Efficiency,25,Percentage,Fishing,While doing  Fishing
Fisherman's Trousers,Fishing,19,Legs,Loot,,,Double Action,4,Percentage,Fishing,While doing  Fishing
Flowy Trousers,Agility,44,Legs,Loot,,,Work Efficiency,10,Percentage,Agility,While doing  Agility
Flowy Trousers,Agility,44,Legs,Loot,,,Double Action,5,Percentage,Agility,While doing  Agility
Flowy Trousers,Agility,44,Legs,Loot,,,Bonus Experience,10,Percentage,Agility,While doing  Agility
Foraging Shirt,Foraging,7,Chest,Loot,,,Work Efficiency,7,Percentage,Foraging,While doing  Foraging
Foraging Shirt,Foraging,7,Chest,Loot,,,Chest Finding,3,Percentage,Foraging,While doing  Foraging
Foraging Shorts,Foraging,7,Legs,Loot,,,Work Efficiency,6,Percentage,Foraging,While doing  Foraging
Foraging Shorts,Foraging,7,Legs,Loot,,,Double Action,2,Percentage,Foraging,While doing  Foraging
Forester's Boots,Woodcutting,26,Feet,Loot,,,Double Action,6,Percentage,Woodcutting,While doing  Woodcutting
Forester's Boots,Woodcutting,26,Feet,Loot,,,Double Rewards,2,Percentage,Woodcutting,While doing  Woodcutting
Forester's Boots,Woodcutting,26,Feet,Loot,,,Fine Material Finding,11,Percentage,Woodcutting,While doing  Woodcutting
Forester's Boots,Woodcutting,26,Feet,Loot,,,Find Bird Nests,28,Percentage,Woodcutting,While doing  Woodcutting
Forester's Flannel Shirt,Woodcutting,24,Chest,Loot,,,Double Action,5,Percentage,Woodcutting,While doing  Woodcutting
Forester's Flannel Shirt,Woodcutting,24,Chest,Loot,,,Double Rewards,5,Percentage,Woodcutting,While doing  Woodcutting
Forester's Flannel Shirt,Woodcutting,24,Chest,Loot,,,Fine Material Finding,12,Percentage,Woodcutting,While doing  Woodcutting
Forester's Flannel Shirt,Woodcutting,24,Chest,Loot,,,Find Bird Nests,39,Percentage,Woodcutting,While doing  Woodcutting
Forester's Hat,Woodcutting,25,Head,Loot,,,Work Efficiency,13,Percentage,Woodcutting,While doing  Woodcutting
Forester's Hat,Woodcutting,25,Head,Loot,,,Fine Material Finding,9,Percentage,Woodcutting,While doing  Woodcutting
Forester's Hat,Woodcutting,25,Head,Loot,,,Bonus Experience,3,Flat,Woodcutting,While doing  Woodcutting
Forester's Pants,Woodcutting,22,Legs,Loot,,,Work Efficiency,16,Percentage,Woodcutting,While doing  Woodcutting
Forester's Pants,Woodcutting,22,Legs,Loot,,,Fine Material Finding,10,Percentage,Woodcutting,While doing  Woodcutting
Forester's Pants,Woodcutting,22,Legs,Loot,,,Chest Finding,2,Percentage,Woodcutting,While doing  Woodcutting
Gardening Gloves,Foraging,17,Hands,Loot,,,Work Efficiency,9,Percentage,Foraging,While doing  Foraging
Gardening Gloves,Foraging,17,Hands,Loot,,,Fine Material Finding,9,Percentage,Foraging,While doing  Foraging
Gardening Gloves,Foraging,17,Hands,Loot,,,Chest Finding,5,Percentage,Foraging,While doing  Foraging
Gem Bracelet,Global,,Hands,Loot,,,Find Gems,20,Percentage,Mining,While doing  Mining
Grappling Hook,Agility,38,Back,Loot,,Climbing Gear,Work Efficiency,-5,Percentage,Agility,While doing  Agility
Grappling Hook,Agility,38,Back,Loot,,Climbing Gear,Chest Finding,12,Percentage,Agility,While doing  Agility
Grappling Hook,Agility,38,Back,Loot,,Climbing Gear,Bonus Experience,12,Percentage,Agility,While doing  Agility
Grappling Hook,Agility,38,Back,Loot,,Climbing Gear,Bonus Experience,1,Flat,Agility,While doing  Agility
Grippy Gloves,Crafting,31,Hands,Loot,,,Double Rewards,9,Percentage,Crafting,While doing  Crafting
Halfling's Feet Slippers,Foraging,30,Feet,Loot,,,Work Efficiency,12,Percentage,Foraging,While doing  Foraging
Halfling's Feet Slippers,Foraging,30,Feet,Loot,,,Fine Material Finding,15,Percentage,Foraging,While doing  Foraging
Halfling's Feet Slippers,Foraging,30,Feet,Loot,,,Bonus Experience,1,Flat,Foraging,While doing  Foraging
Halfling's Feet Slippers,Foraging,30,Feet,Loot,,,Steps Required,-2,Flat,Agility,While doing  Agility
Hat with a Feather,Foraging,52,Head,Loot,,,Double Action,5,Percentage,Foraging,While doing  Foraging
Hat with a Feather,Foraging,52,Head,Loot,,,Double Rewards,8,Percentage,Foraging,While doing  Foraging
Hat with a Feather,Foraging,52,Head,Loot,,,Bonus Experience,1,Flat,Foraging,While doing  Foraging
Hat with a Feather,Foraging,52,Head,Loot,,,Steps Required,-2,Flat,Foraging,While doing  Foraging
Herbert's Boots,Global,,Feet,Loot,,,Work Efficiency,1,Percentage,Global,Global
Herbert's Cape,Global,,Cape,Loot,,,Work Efficiency,1,Percentage,Global,Global
Herbert's Hat,Global,,Head,Loot,,,Work Efficiency,1,Percentage,Global,Global
Herbert's Pants,Global,,Legs,Loot,,,Work Efficiency,1,Percentage,Global,Global
Herbert's Shirt,Global,,Chest,Loot,,,Work Efficiency,1,Percentage,Global,Global
Life Vest,Fishing,24,Chest,Loot,,Life Vest,Work Efficiency,5,Percentage,Fishing,While doing  Fishing
Life Vest,Fishing,24,Chest,Loot,,Life Vest,Work Efficiency,5,Percentage,Agility,While doing  Agility
Lucky Rabbit's Foot Necklace,Global,,Neck,Loot,,,Double Action,3,Percentage,Global,Global
Lumberjack Boots,Woodcutting,10,Feet,Loot,,,Work Efficiency,5,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Boots,Woodcutting,10,Feet,Loot,,,Bonus Experience,2,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Boots,Woodcutting,10,Feet,Loot,,,Find Bird Nests,10,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Hat,Woodcutting,12,Head,Loot,,,Work Efficiency,3,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Hat,Woodcutting,12,Head,Loot,,,Bonus Experience,1,Flat,Woodcutting,While doing  Woodcutting
Lumberjack Hat,Woodcutting,12,Head,Loot,,,Fine Material Finding,2,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Pants,Woodcutting,8,Legs,Loot,,,Fine Material Finding,3,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Pants,Woodcutting,8,Legs,Loot,,,Chest Finding,3,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Sandals,Woodcutting,6,Feet,Loot,,,Work Efficiency,3,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Sandals,Woodcutting,6,Feet,Loot,,,Fine Material Finding,3,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Shirt,Woodcutting,27,Chest,Loot,,,Find Bird Nests,13,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Shirt,Woodcutting,27,Chest,Loot,,,Bonus Experience,6,Percentage,Woodcutting,While doing  Woodcutting
Lumberjack Shirt,Woodcutting,27,Chest,Loot,,,Bonus Experience,1,Flat,Woodcutting,While doing  Woodcutting
Measuring Spoons Necklace,Cooking,18,Neck,Loot,,,No Materials Consumed,4,Percentage,Cooking,While doing  Cooking
Measuring Spoons Necklace,Cooking,18,Neck,Loot,,,Chest Finding,12,Percentage,Cooking,While doing  Cooking
Medieval Sneakers,Agility,25,Feet,Loot,,,Work Efficiency,15,Percentage,Traveling,While doing  Traveling
Medieval Sneakers,Agility,25,Feet,Loot,,,Bonus Experience,33,Percentage,Traveling,While doing  Traveling
Medieval Sneakers,Agility,25,Feet,Loot,,,Steps Required,-5,Flat,Traveling,While doing  Traveling
Merfolk Dress,Agility,40,Chest,Loot,,"Diving Gear Set, Advanced Diving Gear Set",Work Efficiency,5,Percentage,,Global  While in Underwater location.
Metalworking Gloves,Smithing,16,Hands,Loot,,,Double Action,6,Percentage,Smithing,While doing  Smithing
Metalworking Gloves,Smithing,16,Hands,Loot,,,Bonus Experience,2,Flat,Smithing,While doing  Smithing
Metalworking Gloves,Smithing,16,Hands,Loot,,,No Materials Consumed,4,Percentage,Smithing,While doing  Smithing
Miner's Beard,Mining,25,Neck,Loot,,,Double Action,4,Percentage,Mining,While doing  Mining
Miner's Pants,Mining,35,Legs,Loot,,,Work Efficiency,16,Percentage,Mining,While doing  Mining
Miner's Pants,Mining,35,Legs,Loot,,,Double Rewards,5,Percentage,Mining,While doing  Mining
Miner's Pants,Mining,35,Legs,Loot,,,Fine Material Finding,17,Percentage,Mining,While doing  Mining
Miner's Shirt,Mining,32,Chest,Loot,,,Work Efficiency,9,Percentage,Mining,While doing  Mining
Miner's Shirt,Mining,32,Chest,Loot,,,Bonus Experience,2,Flat,Mining,While doing  Mining
Miner's Shirt,Mining,32,Chest,Loot,,,Find Gems,13,Percentage,Mining,While doing  Mining
Mining Helmet,Mining,23,Head,Loot,,Light Source,Fine Material Finding,40,Percentage,Mining,While doing  Mining
Mosquito Net Hat,Foraging,45,Head,Loot,,,Work Efficiency,12,Percentage,Foraging,While doing  Foraging While in  GDTE.
Mosquito Net Hat,Foraging,45,Head,Loot,,,Double Rewards,7,Percentage,Foraging,While doing  Foraging
Mosquito Net Hat,Foraging,45,Head,Loot,,,Fine Material Finding,20,Percentage,Foraging,While doing  Foraging
Non-Slip Shoes,Cooking,17,Feet,Loot,,,No Materials Consumed,4,Percentage,Cooking,While doing  Cooking
Non-Slip Shoes,Cooking,17,Feet,Loot,,,Steps Required,-2,Flat,Cooking,While doing  Cooking
Non-Waterproof Shoes,Foraging,9,Feet,Loot,,,Work Efficiency,3,Percentage,Foraging,While doing  Foraging
Non-Waterproof Shoes,Foraging,9,Feet,Loot,,,Fine Material Finding,5,Percentage,Foraging,While doing  Foraging
Non-Waterproof Shoes,Foraging,9,Feet,Loot,,,Chest Finding,3,Percentage,Foraging,While doing  Foraging
Oak Skis,Agility,25,Feet,Loot,,Skis,Work Efficiency,24,Percentage,Agility,While doing  Agility While in  Jarvonia.
Old Copper Ring,Global,,Ring,Loot,,,Chest Finding,2,Percentage,Global,Global
Old Gold Ring,Global,,Ring,Loot,,,Chest Finding,2,Percentage,Global,Global
Old Gold Ring,Global,,Ring,Loot,,,Bonus Experience,2,Percentage,Global,Global
Old Silver Ring,Global,,Ring,Loot,,,Bonus Experience,2,Percentage,Global,Global
Oven Mittens,Cooking,5,Hands,Loot,,,No Materials Consumed,3,Percentage,Cooking,While doing  Cooking
Oven Mittens,Cooking,5,Hands,Loot,,,Steps Required,-2,Flat,Cooking,While doing  Cooking
Pants of Haste,Global,,Legs,Loot,,,Work Efficiency,3,Percentage,Global,Global
Pants of Haste,Global,,Legs,Loot,,,Inventory Space,1,Flat,Global,Global
Parkour Gloves,Agility,29,Hands,Loot,,,Work Efficiency,5,Percentage,Agility,While doing  Agility
Parkour Gloves,Agility,29,Hands,Loot,,,Bonus Experience,5,Percentage,Agility,While doing  Agility
Pathfinder,Global,,Neck,Loot,,,Work Efficiency,5,Percentage,Traveling,While doing  Traveling
Pearl Amulet,Global,,Neck,Loot,,,Crafting Outcome,14,Flat,Crafting,While doing  Crafting While in  Syrenthia.
Picker's Gloves,Foraging,9,Hands,Loot,,,Work Efficiency,4,Percentage,Foraging,While doing  Foraging
Picker's Gloves,Foraging,9,Hands,Loot,,,Fine Material Finding,3,Percentage,Foraging,While doing  Foraging
Picker's Gloves,Foraging,9,Hands,Loot,,,Chest Finding,3,Percentage,Foraging,While doing  Foraging
Pine Skis,Agility,15,Feet,Loot,,Skis,Work Efficiency,16,Percentage,Agility,While doing  Agility While in  Jarvonia.
Pirate Hat,Global,,Head,Loot,,,Work Efficiency,12,Percentage,Fishing,While doing  Fishing
Pirate Hat,Global,,Head,Loot,,,Chest Finding,20,Percentage,Fishing,While doing  Fishing
Protective Glasses,Carpentry,18,Head,Loot,,,Work Efficiency,16,Percentage,Carpentry,While doing  Carpentry
Protective Glasses,Carpentry,18,Head,Loot,,,Work Efficiency,16,Percentage,Crafting,While doing  Crafting
Protective Glasses,Carpentry,18,Head,Loot,,,Crafting Outcome,10,Flat,Global,Global
Protective Glasses,Carpentry,18,Head,Loot,,,Double Rewards,8,Percentage,Carpentry,While doing  Carpentry
Protective Glasses,Carpentry,18,Head,Loot,,,Double Rewards,8,Percentage,Crafting,While doing  Crafting
Protective Gloves,Carpentry,7,Hands,Loot,,,Double Action,5,Percentage,Carpentry,While doing  Carpentry
Protective Pants,Carpentry,22,Legs,Loot,,,Work Efficiency,14,Percentage,Carpentry,While doing  Carpentry
Protective Pants,Carpentry,22,Legs,Loot,,,Double Rewards,2,Percentage,Carpentry,While doing  Carpentry
Protective Shirt,Carpentry,20,Chest,Loot,,,Work Efficiency,17,Percentage,Carpentry,While doing  Carpentry
Protective Shirt,Carpentry,20,Chest,Loot,,,No Materials Consumed,3,Percentage,Carpentry,While doing  Carpentry
Protective Shirt,Carpentry,20,Chest,Loot,,,Chest Finding,6,Percentage,Carpentry,While doing  Carpentry
Protective Shirt,Carpentry,20,Chest,Loot,,,Bonus Experience,2,Flat,Carpentry,While doing  Carpentry
Ring of Ash,Global,,Ring,Loot,,,Work Efficiency,5,Percentage,Mining,While doing  Mining
Ring of Ash,Global,,Ring,Loot,,,Double Rewards,10,Percentage,Mining,While doing  Mining
Ring of the Bat,Global,,Ring,Loot,,,Bonus Experience,3,Percentage,Global,Global
Ring of the Eel,Global,,Ring,Loot,,,Chest Finding,3,Percentage,Global,Global
Ring of the Heron,Global,,Ring,Loot,,,Fine Material Finding,4,Percentage,Global,Global
Rock-Star Amulet,Global,,Neck,Loot,,,Find Gems,5,Percentage,Mining,While doing  Mining
Rooted Ring,Global,,Ring,Loot,,,Work Efficiency,5,Percentage,Woodcutting,While doing  Woodcutting
Rooted Ring,Global,,Ring,Loot,,,Fine Material Finding,20,Percentage,Woodcutting,While doing  Woodcutting
Running Shirt,Agility,9,Chest,Loot,,,Work Efficiency,9,Percentage,Agility,While doing  Agility
Running Shorts,Agility,7,Legs,Loot,,,Bonus Experience,3,Percentage,Agility,While doing  Agility
Running Shorts,Agility,7,Legs,Loot,,,Bonus Experience,1,Flat,Agility,While doing  Agility
Running Visor,Global,,Head,Loot,,,Double Rewards,10,Percentage,Agility,While doing  Agility
Rusty Diving Helmet,Agility,20,Head,Loot,,Diving Gear Set,Work Efficiency,-15,Percentage,,Global  While in Underwater location.
Rusty Diving Leggings,Agility,20,Legs,Loot,,Diving Gear Set,Work Efficiency,-15,Percentage,,Global  While in Underwater location.
Rusty Diving Torso,Agility,20,Chest,Loot,,Diving Gear Set,Work Efficiency,-15,Percentage,,Global  While in Underwater location.
Sailor's Hat,Fishing,32,Head,Loot,,,Work Efficiency,-5,Percentage,Fishing,While doing  Fishing
